,Names,Prices,Specifications,Ratings,Number Of Reviews And Ratings,Images,Links
0,"Apple iPhone 15 (Black, 128 GB)","₹65,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"48,339 Ratings & 2,539 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/d/9/-original-imagtc2qzgnnuhxh.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4?pid=MOBGTAGPTB3VS24W&lid=LSTMOBGTAGPTB3VS24WVZNSC6&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGTAGPTB3VS24W.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
1,"Apple iPhone 15 Plus (Blue, 128 GB)","₹72,999","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"8,556 Ratings & 679 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/1/i/x/-original-imagtc6fhhtqjnr9.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-plus-blue-128-gb/p/itm4022c14383050?pid=MOBGTAGPE4F2HAW7&lid=LSTMOBGTAGPE4F2HAW7NDYSPY&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGTAGPE4F2HAW7.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
2,"Apple iPhone 15 Plus (Green, 128 GB)","₹72,999","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"8,556 Ratings & 679 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/x/t/-original-imagtc6ffhgm3f2g.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-plus-green-128-gb/p/itmaa50abb5e6c3b?pid=MOBGTAGPJVGHTAYC&lid=LSTMOBGTAGPJVGHTAYCTGIMN2&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGTAGPJVGHTAYC.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
3,"Apple iPhone 15 Plus (Black, 128 GB)","₹72,999","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"8,556 Ratings & 679 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/9/n/-original-imagtc6fyrstd4jm.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-plus-black-128-gb/p/itme3a53984760fb?pid=MOBGTAGPNRQA7CS3&lid=LSTMOBGTAGPNRQA7CS3L7XK7L&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGTAGPNRQA7CS3.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
4,"Apple iPhone 15 (Pink, 128 GB)","₹65,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"48,339 Ratings & 2,539 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/c/k/-original-imagtc5fuzkvczr7.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-pink-128-gb/p/itm7579ed94ca647?pid=MOBGTAGPNMZA5PU5&lid=LSTMOBGTAGPNMZA5PU51YWTGZ&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGTAGPNMZA5PU5.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
5,"Apple iPhone 15 (Green, 128 GB)","₹65,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"48,339 Ratings & 2,539 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/z/3/-original-imagtc5fqyz8tu4c.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-green-128-gb/p/itm235cd318bde73?pid=MOBGTAGPYYWZRUJX&lid=LSTMOBGTAGPYYWZRUJXUGY7PM&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGTAGPYYWZRUJX.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
6,"Apple iPhone 15 (Yellow, 128 GB)","₹62,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"48,339 Ratings & 2,539 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/l/g/-original-imagtc5frtz9j7tb.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-yellow-128-gb/p/itm825e4ad0b80ca?pid=MOBGTAGPDTKHHHZU&lid=LSTMOBGTAGPDTKHHHZUTQZRMS&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGTAGPDTKHHHZU.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
7,"Apple iPhone 14 Plus (Blue, 128 GB)","₹58,999","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"79,625 Ratings & 4,422 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/4/d/-original-imaghx9qygjjg8hz.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-blue-128-gb/p/itmac8385391b02b?pid=MOBGHWFHUYWGB5F2&lid=LSTMOBGHWFHUYWGB5F2XIJVA7&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGHWFHUYWGB5F2.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
8,"Apple iPhone 12 (Blue, 64 GB)","₹37,999","64 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year",4.6,"2,10,841 Ratings & 13,896 Reviews",https://rukminim2.flixcart.com/image/312/312/kg8avm80/mobile/y/7/n/apple-iphone-12-dummyapplefsn-original-imafwg8dpyjvgg3j.jpeg?q=70,https://www.flipkart.com/apple-iphone-12-blue-64-gb/p/itm5778ad0d0d255?pid=MOBFWBYZ8DNJNY7N&lid=LSTMOBFWBYZ8DNJNY7NMWAWOJ&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBFWBYZ8DNJNY7N.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
9,"Apple iPhone 14 Plus (Midnight, 128 GB)","₹58,999","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"79,625 Ratings & 4,422 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/b/0/-original-imaghx9qnhzxegu2.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-midnight-128-gb/p/itm4199ea6bcd38b?pid=MOBGHWFH3JX6NWWY&lid=LSTMOBGHWFH3JX6NWWYRH38NG&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGHWFH3JX6NWWY.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
10,"Apple iPhone 13 (Green, 128 GB)","₹50,499",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"2,83,868 Ratings & 13,708 Reviews",https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/r/q/m/-original-imagca5ajerqpfjy.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-green-128-gb/p/itm18a55937b2607?pid=MOBGC9VGSU9DWGJZ&lid=LSTMOBGC9VGSU9DWGJZUXUVYB&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGC9VGSU9DWGJZ.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
11,"Apple iPhone 13 (Blue, 128 GB)","₹50,499",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"2,83,868 Ratings & 13,708 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/2/y/o/iphone-13-mlpk3hn-a-apple-original-imag6vpyur6hjngg.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c?pid=MOBG6VF5SMXPNQHG&lid=LSTMOBG6VF5SMXPNQHGMMXJDB&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBG6VF5SMXPNQHG.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
12,"Infinix Smart 7 HD (Green Apple, 64 GB)","₹6,199","2 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display8MP + AI Lens | 5MP Front Camera5000 mAh BatterySpreadtrum 
SC9863A1 Processor1 Year on Handset and 6 Months on Accessories",4.2,"35,948 Ratings & 1,660 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/o/v/-original-imagp27avqpgejaf.jpeg?q=70,https://www.flipkart.com/infinix-smart-7-hd-green-apple-64-gb/p/itmae6d492c1083e?pid=MOBGZNM9FZAVPXAA&lid=LSTMOBGZNM9FZAVPXAATCK5H1&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGZNM9FZAVPXAA.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
13,"Apple iPhone 13 (Midnight, 128 GB)","₹50,499",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"2,83,868 Ratings & 13,708 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/s/l/c/iphone-13-mlpf3hn-a-apple-original-imag6vzz5qvejz8z.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-midnight-128-gb/p/itmca361aab1c5b0?pid=MOBG6VF5Q82T3XRS&lid=LSTMOBG6VF5Q82T3XRSOXJLM9&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBG6VF5Q82T3XRS.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
14,"Apple iPhone 13 (Green, 512 GB)","₹65,999",512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"2,83,868 Ratings & 13,708 Reviews",https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/r/q/m/-original-imagca5ajerqpfjy.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-green-512-gb/p/itmdd397c451bdae?pid=MOBGC9VGEZQUXGW5&lid=LSTMOBGC9VGEZQUXGW5GINKRW&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGC9VGEZQUXGW5.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
15,"Apple iPhone 15 (Blue, 256 GB)","₹75,999","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"48,339 Ratings & 2,539 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/l/l/-original-imagtc5fz9spysyk.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-blue-256-gb/p/itm986f66c53cae4?pid=MOBGTAGPNEZZY2YR&lid=LSTMOBGTAGPNEZZY2YRE1FCIG&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGTAGPNEZZY2YR.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
16,"Apple iPhone 13 (Pink, 128 GB)","₹50,499",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"2,83,868 Ratings & 13,708 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/8/z/w/iphone-13-mlph3hn-a-apple-original-imag6vzzhrxgazsg.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-pink-128-gb/p/itm6e30c6ee045d2?pid=MOBG6VF5GXVFTQ5Y&lid=LSTMOBG6VF5GXVFTQ5YIPHO6N&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBG6VF5GXVFTQ5Y.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
17,"Apple iPhone 15 Plus (Yellow, 128 GB)","₹72,999","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"8,556 Ratings & 679 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/0/j/-original-imagtc6fqymfzq8a.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-plus-yellow-128-gb/p/itm94bb31f2af05a?pid=MOBGTAGPVSMQYGZX&lid=LSTMOBGTAGPVSMQYGZXNTFFPK&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGTAGPVSMQYGZX.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
18,"Apple iPhone 14 Plus (Starlight, 128 GB)","₹58,999","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"79,625 Ratings & 4,422 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/v/8/-original-imaghx9qudmydgc4.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-starlight-128-gb/p/itmc922ddc8af349?pid=MOBGHWFHVCB2YZYR&lid=LSTMOBGHWFHVCB2YZYRBDOEVN&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGHWFHVCB2YZYR.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
19,"Apple iPhone 14 (Purple, 512 GB)","₹69,999","512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"3,01,491 Ratings & 11,635 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/u/f/-original-imaghxa5hvapbfds.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-purple-512-gb/p/itm97a1b385891d0?pid=MOBGHWFHG9HQHTU7&lid=LSTMOBGHWFHG9HQHTU7FAJZFG&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGHWFHG9HQHTU7.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
20,"Apple iPhone 14 Plus (Purple, 512 GB)","₹79,999","512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"79,625 Ratings & 4,422 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/0/t/-original-imaghxa5rgcv5enm.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-purple-512-gb/p/itma1f613c00f430?pid=MOBGHWFH3NYMY4ZE&lid=LSTMOBGHWFH3NYMY4ZE6FOLCX&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGHWFH3NYMY4ZE.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
21,"Apple iPhone 14 Plus (Blue, 512 GB)","₹79,999","512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"79,625 Ratings & 4,422 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/4/d/-original-imaghx9qygjjg8hz.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-blue-512-gb/p/itm9b829cc08a732?pid=MOBGHWFHKHPYMQX8&lid=LSTMOBGHWFHKHPYMQX8K7QHSJ&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGHWFHKHPYMQX8.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
22,"Apple iPhone 12 (Black, 64 GB)","₹37,999","64 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year",4.6,"2,10,841 Ratings & 13,896 Reviews",https://rukminim2.flixcart.com/image/312/312/kg8avm80/mobile/r/h/z/apple-iphone-12-dummyapplefsn-original-imafwg8duby8qbn4.jpeg?q=70,https://www.flipkart.com/apple-iphone-12-black-64-gb/p/itma2559422bf7c7?pid=MOBFWBYZU5FWK2VP&lid=LSTMOBFWBYZU5FWK2VPQTNJSG&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBFWBYZU5FWK2VP.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
23,"Apple iPhone 15 Plus (Pink, 128 GB)","₹72,999","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"8,556 Ratings & 679 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/6/r/-original-imagtc6fn8fecysv.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-plus-pink-128-gb/p/itmecb6209a78172?pid=MOBGTAGPXUWEXXWY&lid=LSTMOBGTAGPXUWEXXWYKVXCUT&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_1_24&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=eaedfd76-2f64-44d9-94a0-f8a72345dd9e.MOBGTAGPXUWEXXWY.SEARCH&ppt=None&ppn=None&ssid=0ux0jcqyz40000001724840225315&qH=cb603b9543d774e1
24,,,,4.6,,https://rukminim2.flixcart.com/image/300/300/xif0q/mobile/c/6/r/-original-imagtc6fn8fecysv.jpeg?q=90,
